"";"id";"team_h";"team_a";"result";"match_day";"scored_goals_team_h";"conceded_goals_team_h";"win_team_h";"draw_team_h";"loss_team_h";"win_rate_team_h";"win_rate_last_5_team_h";"win_rate_h_team_h";"win_rate_h_last_5_team_h";"draw_rate_team_h";"draw_rate_last_5_team_h";"draw_rate_h_team_h";"draw_rate_h_last_5_team_h";"loss_rate_team_h";"loss_rate_last_5_team_h";"loss_rate_h_team_h";"loss_rate_h_last_5_team_h";"avg_scored_goals_team_h";"avg_scored_goals_last_5_team_h";"avg_scored_goals_h_team_h";"avg_scored_goals_h_last_5_team_h";"avg_conceded_goals_team_h";"avg_conceded_goals_last_5_team_h";"avg_conceded_goals_h_team_h";"avg_conceded_goals_h_last_5_team_h";"scored_goals_team_a";"conceded_goals_team_a";"win_team_a";"draw_team_a";"loss_team_a";"win_rate_team_a";"win_rate_last_5_team_a";"win_rate_a_team_a";"win_rate_a_last_5_team_a";"draw_rate_team_a";"draw_rate_last_5_team_a";"draw_rate_a_team_a";"draw_rate_a_last_5_team_a";"loss_rate_team_a";"loss_rate_last_5_team_a";"loss_rate_a_team_a";"loss_rate_a_last_5_team_a";"avg_scored_goals_team_a";"avg_scored_goals_last_5_team_a";"avg_scored_goals_a_team_a";"avg_scored_goals_a_last_5_team_a";"avg_conceded_goals_team_a";"avg_conceded_goals_last_5_team_a";"avg_conceded_goals_a_team_a";"avg_conceded_goals_a_last_5_team_a";"max_value_player_h";"max_value_position_g_player_h";"max_value_position_d_player_h";"max_value_position_m_player_h";"max_value_position_f_player_h";"avg_goals_per_hour_5_player_h";"avg_goals_per_hour_10_player_h";"avg_assists_per_hour_5_player_h";"avg_assists_per_hour_10_player_h";"avg_goals_conceded_per_hour_5_player_h";"avg_goals_conceded_per_hour_10_player_h";"most_valuable_player_playing_player_h";"most_valuable_g_player_playing_player_h";"most_valuable_f_player_playing_player_h";"most_valuable_m_player_playing_player_h";"best_goal_scorer_playing_player_h";"best_m_goal_scorer_playing_player_h";"best_f_goal_scorer_playing_player_h";"best_assists_player_playing_player_h";"best_assists_d_player_playing_player_h";"best_assists_m_player_playing_player_h";"best_assists_f_player_playing_player_h";"max_value_player_a";"max_value_position_g_player_a";"max_value_position_d_player_a";"max_value_position_m_player_a";"max_value_position_f_player_a";"avg_goals_per_hour_5_player_a";"avg_goals_per_hour_10_player_a";"avg_assists_per_hour_5_player_a";"avg_assists_per_hour_10_player_a";"avg_goals_conceded_per_hour_5_player_a";"avg_goals_conceded_per_hour_10_player_a";"most_valuable_player_playing_player_a";"most_valuable_g_player_playing_player_a";"most_valuable_f_player_playing_player_a";"most_valuable_m_player_playing_player_a";"best_goal_scorer_playing_player_a";"best_m_goal_scorer_playing_player_a";"best_f_goal_scorer_playing_player_a";"best_assists_player_playing_player_a";"best_assists_d_player_playing_player_a";"best_assists_m_player_playing_player_a";"best_assists_f_player_playing_player_a";"season"
"1";12;7;18;"1";2020-09-19;1;0;1;0;0;1;1;NA;NA;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;0;0;NA;NA;0;3;0;0;1;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;0;0;NA;NA;3;3;NA;NA;80;50;60;75;80;0,0487012987012987;0,0487012987012987;0,0476190476190476;0,0476190476190476;0;0;1;1;1;1;1;0;1;1;1;0;0;60;45;50;60;55;0;0;0;0;2,42503472883761;2,42503472883761;1;1;1;1;0;0;0;0;0;0;0;"2020/2021"
"2";13;10;8;"1";2020-09-19;3;4;0;0;1;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;3;3;NA;NA;4;4;NA;NA;0;3;0;0;1;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;0;0;NA;NA;3;3;NA;NA;60;45;45;60;60;0,171448087431694;0,171448087431694;0,142857142857143;0,142857142857143;2,88838240214118;2,88838240214118;1;1;1;1;1;1;1;1;1;1;0;60;45;50;55;60;0;0;0;0;1,73134886038112;1,73134886038112;1;1;1;1;0;0;0;0;0;0;0;"2020/2021"
"3";17;16;17;"2";2020-09-20;0;1;0;0;1;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;0;0;NA;NA;1;1;NA;NA;0;1;0;0;1;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;0;0;NA;NA;1;1;NA;NA;85;45;50;65;85;0;0;0;0;0,583601861797351;0,583601861797351;1;1;1;1;0;0;0;0;0;0;0;105;55;60;90;105;0;0;0;0;0,605972558514931;0,605972558514931;1;1;1;1;0;0;0;0;0;0;0;"2020/2021"
"4";16;14;3;"2";2020-09-20;2;0;1;0;0;1;1;NA;NA;0;0;NA;NA;0;0;NA;NA;2;2;NA;NA;0;0;NA;NA;1;3;0;0;1;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;1;1;NA;NA;3;3;NA;NA;65;50;50;60;65;0,0986394557823129;0,0986394557823129;0,904761904761905;0,904761904761905;0;0;1;1;1;1;1;1;1;1;0;1;0;65;45;50;65;65;0,0476190476190476;0,0476190476190476;0,0476190476190476;0,0476190476190476;1,76040626040626;1,76040626040626;1;1;1;1;1;1;0;1;1;0;0;"2020/2021"
"5";11;5;11;"2";2020-09-20;3;1;1;0;0;1;1;NA;NA;0;0;NA;NA;0;0;NA;NA;3;3;NA;NA;1;1;NA;NA;4;3;1;0;0;1;1;NA;NA;0;0;NA;NA;0;0;NA;NA;4;4;NA;NA;3;3;NA;NA;95;50;60;85;95;0,146258503401361;0,146258503401361;0,146258503401361;0,146258503401361;0,557650908464652;0,557650908464652;1;1;1;1;1;1;0;1;1;1;1;120;60;75;120;95;0,19047619047619;0,19047619047619;0,181547619047619;0,181547619047619;1,88370511067879;1,88370511067879;1;1;1;1;1;1;0;1;1;1;0;"2020/2021"
"6";19;3;13;"2";2020-09-26;3;0;1;0;0;0,5;0,5;0;0;0;0;0;0;0,5;0,5;1;1;2;2;1;1;1,5;1,5;3;3;1;3;0;0;1;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;1;1;NA;NA;3;3;NA;NA;65;45;50;65;65;0,0955056179775281;0,0955056179775281;0,109022556390977;0,109022556390977;0,88020313020313;0,88020313020313;1;1;1;1;1;1;1;1;1;1;1;105;55;55;105;90;0,186335403726708;0,186335403726708;0;0;2,44951063429324;2,44951063429324;1;1;1;1;1;1;0;1;0;0;0;"2020/2021"
"7";21;6;7;"2";2020-09-26;3;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;2;2;1;1;0,5;0,5;0;0;5;2;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;3;3;1;1;1;1;0;0;70;50;45;70;60;0,0952380952380952;0,0952380952380952;0,103362290862291;0,103362290862291;0,408559113300493;0,408559113300493;1;1;1;1;1;1;0;1;1;1;1;80;50;61;75;80;0,16782622139765;0,16782622139765;0,123067408781695;0,123067408781695;0,564799783549784;0,564799783549784;1;1;1;1;1;1;1;1;1;1;1;"2020/2021"
"8";27;18;5;"X";2020-09-26;2;5;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;4;4;3;3;0;2;0;0;1;0,5;0,5;1;1;0;0;0;0;0,5;0,5;0;0;1,5;1,5;3;3;1,5;1,5;1;1;60;45;50;60;55;0,0612244897959184;0,0612244897959184;0,0306122448979592;0,0306122448979592;2,38791725410441;2,38791725410441;1;1;1;1;1;1;0;1;0;1;0;95;50;60;85;95;0,0731292517006803;0,0731292517006803;0,0731292517006803;0,0731292517006803;1,02699395240082;1,02699395240082;1;1;1;1;1;1;0;1;1;1;1;"2020/2021"
"9";20;4;16;"2";2020-09-26;2;4;0;0;1;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;2;2;NA;NA;4;4;NA;NA;2;5;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;3;3;1;1;65;55;45;60;65;0,102564102564103;0,102564102564103;0,102564102564103;0,102564102564103;2,6728582454335;2,6728582454335;1;1;1;1;1;0;1;1;1;1;0;85;45;50;60;85;0,0476190476190476;0,0476190476190476;0,0476190476190476;0,0476190476190476;2,38770376254413;2,38770376254413;1;1;1;0;1;0;1;1;1;1;0;"2020/2021"
"10";25;15;10;"2";2020-09-27;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1,5;1,5;2;2;4;3;1;0;0;0,5;0,5;0;0;0;0;0;0;0,5;0,5;1;1;3,5;3,5;3;3;3,5;3,5;4;4;60;50;55;60;60;0;0;0;0;0,966642635623553;0,966642635623553;1;1;1;1;0;0;0;0;0;0;0;60;45;45;55;60;0,202686093901347;0,202686093901347;0,169453734671126;0,169453734671126;2,10622677987254;2,10622677987254;1;1;1;0;1;1;1;1;1;1;1;"2020/2021"
